order_id,order_date,store_id,product_id,category,quantity,unit_price,unit_cost,inventory_on_hand,reorder_level,fulfillment_days
ORD-1001,2026-07-01,ST-01,SKU-101,Electronics,2,249.50,170.00,9,10,2
ORD-1002,2026-07-01,ST-02,SKU-202,Home,4,42.00,21.00,40,12,1
ORD-1003,2026-07-02,ST-01,SKU-303,Beauty,5,18.00,7.50,15,15,3
ORD-1004,2026-07-02,ST-03,SKU-404,Sports,3,65.00,34.00,22,8,2
ORD-1005,2026-07-03,ST-02,SKU-101,Electronics,1,249.50,170.00,8,10,4
ORD-1006,2026-07-03,ST-03,SKU-505,Grocery,10,8.25,4.00,75,25,1
ORD-1007,2026-07-04,ST-01,SKU-202,Home,6,42.00,21.00,11,12,2
ORD-1008,2026-07-04,ST-02,SKU-404,Sports,2,65.00,34.00,30,8,5
ORD-1009,2026-07-05,ST-01,SKU-999,Home,-1,25.00,11.00,10,5,2
,2026-07-05,ST-03,SKU-303,Beauty,1,18.00,7.50,12,15,2
